actual_date,airlineCode,arrival,bookingClass,brandId,cabinClass,currency,departure,destination,fareBasis,flightNumber,operatingFlightNumber,origin,price,raw_offer,requested_date,seatsRemaining,shoppingBasketHashCode,soldout,source,task_cabin,task_destination,task_origin,task_requested_date
2025-12-11,BG,2025-12-11T09:15:00,,DEFAULT,,,2025-12-11T08:00:00,CXB,,433,433,DAC,,"{'shoppingBasketHashCode': 1500292670, 'brandId': 'DEFAULT', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@type': 'ItineraryPart', '@id': '1', 'segments': [{'@type': 'Segment', '@id': '2', 'segmentOfferInformation': {'flightsMiles': 189, 'awardFare': False}, 'duration': 75, 'equipment': 'DH8', 'flight': {'flightNumber': 433, 'operatingFlightNumber': 433, 'airlineCode': 'BG', 'operatingAirlineCode': 'BG', 'stopAirports': [], 'advisories': [], 'departureTerminal': 'D'}, 'origin': 'DAC', 'destination': 'CXB', 'departure': '2025-12-11T08:00:00', 'arrival': '2025-12-11T09:15:00', 'departureGMTOffset': '+06:00', 'arrivalGMTOffset': '+06:00', 'layoverDuration': 0, 'subjectToGovernmentApproval': False, 'segmentRef': '3034109255288407056'}], 'stops': 0, 'totalDuration': 75, 'connectionInformations': [], 'bookingClass': 'ASSORTED', 'advisories': []}], 'identicalOffersRefs': [1500292670], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-11,0,1500292670,True,exact,Business,CXB,DAC,2025-12-11
2025-12-11,BG,2025-12-11T12:15:00,,DEFAULT,,,2025-12-11T11:00:00,CXB,,435,435,DAC,,"{'shoppingBasketHashCode': 1247498442, 'brandId': 'DEFAULT', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@type': 'ItineraryPart', '@id': '3', 'segments': [{'@type': 'Segment', '@id': '4', 'segmentOfferInformation': {'flightsMiles': 189, 'awardFare': False}, 'duration': 75, 'equipment': 'DH8', 'flight': {'flightNumber': 435, 'operatingFlightNumber': 435, 'airlineCode': 'BG', 'operatingAirlineCode': 'BG', 'stopAirports': [], 'advisories': [], 'departureTerminal': 'D'}, 'origin': 'DAC', 'destination': 'CXB', 'departure': '2025-12-11T11:00:00', 'arrival': '2025-12-11T12:15:00', 'departureGMTOffset': '+06:00', 'arrivalGMTOffset': '+06:00', 'layoverDuration': 0, 'subjectToGovernmentApproval': False, 'segmentRef': '432908230381749961'}], 'stops': 0, 'totalDuration': 75, 'connectionInformations': [], 'bookingClass': 'ASSORTED', 'advisories': []}], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-11,0,1247498442,True,exact,Business,CXB,DAC,2025-12-11
2025-12-11,BG,2025-12-11T16:45:00,,DEFAULT,,,2025-12-11T15:30:00,CXB,,437,437,DAC,,"{'shoppingBasketHashCode': -1055129642, 'brandId': 'DEFAULT', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@type': 'ItineraryPart', '@id': '5', 'segments': [{'@type': 'Segment', '@id': '6', 'segmentOfferInformation': {'flightsMiles': 189, 'awardFare': False}, 'duration': 75, 'equipment': 'DH8', 'flight': {'flightNumber': 437, 'operatingFlightNumber': 437, 'airlineCode': 'BG', 'operatingAirlineCode': 'BG', 'stopAirports': [], 'advisories': [], 'departureTerminal': 'D'}, 'origin': 'DAC', 'destination': 'CXB', 'departure': '2025-12-11T15:30:00', 'arrival': '2025-12-11T16:45:00', 'departureGMTOffset': '+06:00', 'arrivalGMTOffset': '+06:00', 'layoverDuration': 0, 'subjectToGovernmentApproval': False, 'segmentRef': '169242657401809338'}], 'stops': 0, 'totalDuration': 75, 'connectionInformations': [], 'bookingClass': 'ASSORTED', 'advisories': []}], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-11,0,-1055129642,True,exact,Business,CXB,DAC,2025-12-11
2025-12-11,,,,DEFAULT,,,,CXB,,,,DAC,,"{'shoppingBasketHashCode': 1500292670, 'brandId': 'DEFAULT', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@ref': '1'}], 'identicalOffersRefs': [1500292670], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-11,0,1500292670,True,exact,Business,CXB,DAC,2025-12-11
2025-12-15,BG,2025-12-15T09:15:00,S,EF,Economy,BDT,2025-12-15T08:00:00,CXB,SDACFO,433,433,DAC,9199,"{'shoppingBasketHashCode': 1468946967, 'brandId': 'EF', 'soldout': False, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 4, 'lowAvailability': False}, 'itineraryPart': [{'@type': 'ItineraryPart', '@id': '1', 'segments': [{'@type': 'Segment', '@id': '2', 'segmentOfferInformation': {'flightsMiles': 189, 'awardFare': False}, 'duration': 75, 'cabinClass': 'Economy', 'equipment': 'DH8', 'flight': {'flightNumber': 433, 'operatingFlightNumber': 433, 'airlineCode': 'BG', 'operatingAirlineCode': 'BG', 'stopAirports': [], 'advisories': [], 'departureTerminal': 'D'}, 'origin': 'DAC', 'destination': 'CXB', 'departure': '2025-12-15T08:00:00', 'arrival': '2025-12-15T09:15:00', 'departureGMTOffset': '+06:00', 'arrivalGMTOffset': '+06:00', 'bookingClass': 'S', 'layoverDuration': 0, 'fareBasis': 'SDACFO', 'subjectToGovernmentApproval': False, 'fareComponentBeginAirport': 'DAC', 'fareComponentEndAirport': 'CXB', 'fareComponentDirectionality': 'FROM', 'meals': [{'passengerType': 'ADT', 'mealCode': 'S'}], 'segmentRef': '2743858838524445205'}], 'stops': 0, 'totalDuration': 75, 'connectionInformations': [], 'bookingClass': 'S', 'programIDs': ['152748'], 'programCodes': ['DMB'], 'advisories': []}], 'cabinClass': 'Economy', 'offerInformation': {'discounted': False, 'negotiated': True, 'negotiatedType': 'OTHER'}, 'advisories': [], 'taxes': {'alternatives': [[{'amount': 1175, 'currency': 'BDT'}]]}, 'fare': {'alternatives': [[{'amount': 8024, 'currency': 'BDT'}]]}, 'total': {'alternatives': [[{'amount': 9199, 'currency': 'BDT'}]]}}",2025-12-15,4,1468946967,False,exact,Economy,CXB,DAC,2025-12-15
2025-12-15,BG,2025-12-15T12:15:00,P,EF,Economy,BDT,2025-12-15T11:00:00,CXB,PDACFO,435,435,DAC,10199,"{'shoppingBasketHashCode': -356179709, 'brandId': 'EF', 'soldout': False, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 9, 'lowAvailability': False}, 'itineraryPart': [{'@type': 'ItineraryPart', '@id': '3', 'segments': [{'@type': 'Segment', '@id': '4', 'segmentOfferInformation': {'flightsMiles': 189, 'awardFare': False}, 'duration': 75, 'cabinClass': 'Economy', 'equipment': 'DH8', 'flight': {'flightNumber': 435, 'operatingFlightNumber': 435, 'airlineCode': 'BG', 'operatingAirlineCode': 'BG', 'stopAirports': [], 'advisories': [], 'departureTerminal': 'D'}, 'origin': 'DAC', 'destination': 'CXB', 'departure': '2025-12-15T11:00:00', 'arrival': '2025-12-15T12:15:00', 'departureGMTOffset': '+06:00', 'arrivalGMTOffset': '+06:00', 'bookingClass': 'P', 'layoverDuration': 0, 'fareBasis': 'PDACFO', 'subjectToGovernmentApproval': False, 'fareComponentBeginAirport': 'DAC', 'fareComponentEndAirport': 'CXB', 'fareComponentDirectionality': 'FROM', 'meals': [{'passengerType': 'ADT', 'mealCode': 'S'}], 'segmentRef': '3102543850723810931'}], 'stops': 0, 'totalDuration': 75, 'connectionInformations': [], 'bookingClass': 'P', 'programIDs': ['152748'], 'programCodes': ['DMB'], 'advisories': []}], 'cabinClass': 'Economy', 'offerInformation': {'discounted': False, 'negotiated': True, 'negotiatedType': 'OTHER'}, 'advisories': [], 'taxes': {'alternatives': [[{'amount': 1175, 'currency': 'BDT'}]]}, 'fare': {'alternatives': [[{'amount': 9024, 'currency': 'BDT'}]]}, 'total': {'alternatives': [[{'amount': 10199, 'currency': 'BDT'}]]}}",2025-12-15,9,-356179709,False,exact,Economy,CXB,DAC,2025-12-15
2025-12-15,BG,2025-12-15T16:45:00,,EF,,,2025-12-15T15:30:00,CXB,,437,437,DAC,,"{'shoppingBasketHashCode': 41263062, 'brandId': 'EF', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@type': 'ItineraryPart', '@id': '5', 'segments': [{'@type': 'Segment', '@id': '6', 'segmentOfferInformation': {'flightsMiles': 189, 'awardFare': False}, 'duration': 75, 'equipment': 'DH8', 'flight': {'flightNumber': 437, 'operatingFlightNumber': 437, 'airlineCode': 'BG', 'operatingAirlineCode': 'BG', 'stopAirports': [], 'advisories': [], 'departureTerminal': 'D'}, 'origin': 'DAC', 'destination': 'CXB', 'departure': '2025-12-15T15:30:00', 'arrival': '2025-12-15T16:45:00', 'departureGMTOffset': '+06:00', 'arrivalGMTOffset': '+06:00', 'layoverDuration': 0, 'subjectToGovernmentApproval': False, 'segmentRef': '3481510187602397718'}], 'stops': 0, 'totalDuration': 75, 'connectionInformations': [], 'bookingClass': 'ASSORTED', 'advisories': []}], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-15,0,41263062,True,exact,Economy,CXB,DAC,2025-12-15
2025-12-15,,,,BS,,,,CXB,,,,DAC,,"{'shoppingBasketHashCode': 41263062, 'brandId': 'BS', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@ref': '5'}], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-15,0,41263062,True,exact,Economy,CXB,DAC,2025-12-15
2025-12-15,,,,SV,,,,CXB,,,,DAC,,"{'shoppingBasketHashCode': 41263062, 'brandId': 'SV', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@ref': '5'}], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-15,0,41263062,True,exact,Economy,CXB,DAC,2025-12-15
2025-12-15,,,,EV,,,,CXB,,,,DAC,,"{'shoppingBasketHashCode': 41263062, 'brandId': 'EV', 'soldout': True, 'bundlePrice': {}, 'availableObFees': [], 'seatsRemaining': {'count': 0, 'lowAvailability': False}, 'itineraryPart': [{'@ref': '5'}], 'offerInformation': {'discounted': False, 'negotiated': False, 'negotiatedType': 'NONE'}, 'advisories': [], 'taxes': {'alternatives': []}, 'fare': {'alternatives': []}, 'total': {'alternatives': []}}",2025-12-15,0,41263062,True,exact,Economy,CXB,DAC,2025-12-15
