airline,origin,destination,date,cabin,ok,price,currency,error
biman,DAC,CGP,2025-12-16,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CGP,2025-12-24,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-12,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-09,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CGP,2025-12-09,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CGP,2025-12-12,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-09,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-09,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-12,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CGP,2025-12-24,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-12,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CGP,2025-12-12,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-16,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-09,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CGP,2025-12-16,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-16,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-12,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-24,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CGP,2025-12-09,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-24,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,CXB,2025-12-16,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-16,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-12,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-16,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-16,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-24,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-24,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-09,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-09,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-12,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-12,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-16,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-16,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-24,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,SPD,2025-12-24,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-09,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-09,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-12,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-12,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-16,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-16,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-24,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,JSR,2025-12-24,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-24,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,ZYL,2025-12-24,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-09,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-09,Business,False,,,run_search() got an unexpected keyword argument 'origin'
biman,DAC,RJH,2025-12-12,Economy,False,,,run_search() got an unexpected keyword argument 'origin'
